order	lemma	pos	verdict	fix	why	gloss
1	samo	ADV	ok			только
2	možda	ADV	ok			возможно
3	sad	ADV	ok			сейчас, теперь
4	čuti	VERB	ok			слышать; чуять, чувствовать запах
5	život	NOUN	ok			жизнь
6	zato	ADV	ok			поэтому
7	dobiti	VERB	ok			получить, приобрести; выиграть
8	naravno	ADV	ok			конечно, разумеется
9	pričati	VERB	ok			говорить, разговаривать, беседовать; рассказывать, повествовать
10	tražiti	VERB	ok			искать
11	nov	ADJ	ok			новый
12	gledati	VERB	ok			смотреть; присматривать
13	prijatelj	NOUN	ok			друг
14	zdravo	ADV	ok			здравствуйте
15	pitati	VERB	ok			спрашивать
16	nikad	ADV	ok			никогда
17	ime	NOUN	gloss	имя	толкования нет	?
18	postojati	VERB	ok			быть, существовать
19	odmah	ADV	ok			сразу, немедленно, тотчас
20	mrtav	ADJ	ok			мёртвый
21	deo	NOUN	ok			часть; доля
22	pitanje	NOUN	ok			вопрос
23	priča	NOUN	gloss	рассказ	толкования нет	?
24	voleti	VERB	ok			любить
25	način	NOUN	ok			способ, приём; образ действия
26	pronaći	VERB	ok			найти, отыскать (после поисков); изобрести, открыть
27	postati	VERB	ok			стать, возникнуть
28	koristiti	VERB	ok			использовать, пользоваться, применять; быть полезным, приносить пользу, идти на пользу
29	isti	ADJ	ok			такой же, одинаковый
30	reč	NOUN	ok			слово
31	ovamo	ADV	ok			сюда
32	biće	NOUN	ok			живое существо
33	broj	NOUN	ok			число; грам. числительное
34	dole	ADV	ok			вниз; внизу
35	brod	NOUN	ok			корабль
36	mlad	ADJ	ok			молодой
37	nestati	VERB	ok			исчезнуть, пропасть
38	muškarac	NOUN	ok			мужчина, муж
39	sreća	NOUN	ok			счастье
40	pas	NOUN	ok			зоол. собака
41	ipak	ADV	ok			всё же, всё-таки, однако
42	hrana	NOUN	ok			еда
43	očekivati	VERB	ok			ожидать
44	negde	ADV	ok			где-то, где-либо
45	odlučiti	VERB	ok			решить, принять решение
46	beba	NOUN	gloss	младенец	толкования нет	?
47	tek	ADV	ok			только, лишь
48	plašiti	VERB	ok			пугать
49	piće	NOUN	ok			напиток
50	večera	NOUN	ok			ужин
51	kralj	NOUN	ok			король; шахм. король
52	policajac	NOUN	ok			полицейский
53	dečak	NOUN	ok			мальчик
54	objasniti	VERB	ok			объяснять
55	slobodan	ADJ	ok			свободный
56	duh	NOUN	ok			душа; внутренняя сила, мужество, настроение
57	odgovor	NOUN	ok			ответ
58	napred	ADV	ok			вперёд
59	početak	NOUN	ok			начало
60	avion	NOUN	ok			самолёт
61	osećaj	NOUN	ok			чувство, эмоция
62	ulaziti	VERB	ok			входить; въезжать
63	ćerka	NOUN	ok			дочь
64	zanimati	VERB	ok			интересовать
65	društvo	NOUN	ok			общество
66	okrenuti	VERB	ok			повернуть, поворотить, развернуть; изменить (направление, тему разговора)
67	ljudski	ADJ	ok			человеческий
68	predsednik	NOUN	ok			председатель; президент
69	boja	NOUN	gloss	цвет	толкования неверно: краска — вещество, а boja — цвет	краска (вещество)
70	budala	NOUN	ok			глупец, дурак
71	vojnik	NOUN	ok			солдат
72	pažnja	NOUN	ok			внимание
73	uzimati	VERB	ok			брать
74	smatrati	VERB	ok			полагать, считать
75	naterati	VERB	ok			заставить
76	šteta	NOUN	ok			вред, ущерб
77	odgovarati	VERB	ok			отвечать
78	zid	NOUN	ok			архит. стена
79	crven	ADJ	ok			красный
80	zgrada	NOUN	ok			здание, строение
81	prst	NOUN	drop_transparent		исконный черногорский корень, русский поймёт без объяснений	анат. палец
82	budućnost	NOUN	ok			будущее
83	prozor	NOUN	ok			окно
84	stvoriti	VERB	ok			создать
85	neprijatelj	NOUN	ok			враг
86	posebno	ADV	gloss	особенно	толкование даёт устаревшие значения, основное — «особенно»	отдельно, раздельно, порознь
87	plaćati	VERB	ok			платить
88	pevati	VERB	ok			петь
89	mozak	NOUN	ok			анат. мозг
90	savršen	ADJ	ok			совершенный
91	većina	NOUN	ok			большинство
92	rupa	NOUN	ok			дыра, нора
93	sumnjati	VERB	ok			сомневаться
94	leđa	NOUN	ok			анат. спина
95	slati	VERB	ok			посылать, отправлять, направлять
96	baka	NOUN	gloss	бабушка	толкование перегружено пояснениями, нужен простой перевод	уменьш.-ласк. бабушка, бабуля (родственница); уменьш.-ласк. бабушка, бабуля (старая женщина)
97	vlada	NOUN	ok			правительство
98	trenutno	ADV	gloss	в данный момент	«моментально» неверно, речь о текущем моменте	моментально; в настоящий момент
99	promena	NOUN	ok			изменение
100	preuzeti	VERB	ok			перенять, воспринять; взять на себя
101	obitelj	NOUN	ok			семья
102	američki	ADJ	ok			американский
103	gladan	ADJ	ok			голодный
104	zanimljiv	ADJ	ok			интересный; занимательный
105	korak	NOUN	ok			шаг
106	fin	ADJ	gloss	тонкий	толкование неполное, основное значение — «тонкий»	тонкий, изящный
107	plav	ADJ	ok			синий, голубой
108	rođendan	NOUN	ok			день рождения
109	poljubiti	VERB	ok			поцеловать
110	pogrešan	ADJ	ok			ошибочный; неправильный
111	pogrešno	ADV	ok			ошибочно, неправильно
112	šala	NOUN	ok			шутка
113	pakao	NOUN	ok			ад, преисподняя
114	svuda	ADV	ok			везде, всюду, повсюду
115	lov	NOUN	ok			охота
116	prljav	ADJ	ok			грязный
117	putovanje	NOUN	ok			поездка; путешествие
118	kurac	NOUN	drop_rare	обсценная лексика	начинающему не нужна	обсц. хуй
119	ponuda	NOUN	ok			предложение; ставка
120	mogućnost	NOUN	ok			возможность
121	ujutro	ADV	ok			утром
122	kraljica	NOUN	ok			королева; шахм. ферзь, королева
123	ponosan	ADJ	ok			гордый
124	kći	NOUN	ok			дочь
125	šuma	NOUN	ok			лес
126	kamion	NOUN	ok			грузовой автомобиль, грузовик
127	poštovati	VERB	ok			уважать
128	komad	NOUN	gloss	кусок, кусочек	толкование отсутствует, слово означает «кусок»	?
129	brzina	NOUN	ok			скорость
130	predstava	NOUN	ok			спектакль
131	oduvek	ADV	ok			издавна, испокон веков (испокон века)
132	prazan	ADJ	ok			пустой, порожний
133	planina	NOUN	ok			гора
134	zahvaljivati	ADV	drop_grammar	VERB	помечено как ADV, на самом деле глагол	благодарить
135	mačka	NOUN	ok			кошка
136	engleski	ADJ	ok			английский
137	doba	NOUN	ok			пора, время; эпоха, эра
138	poštovanje	NOUN	ok			уважение, почтение; почёт
139	vlasnik	NOUN	ok			владелец
140	lopta	NOUN	gloss	мяч	толкование даёт геометрический термин, основное значение — «мяч»	геометр. шар
141	vila	NOUN	gloss	вилла	толкование отсутствует, слово означает «вилла» (дом)	?
142	vojni	ADJ	ok			военный
143	pamet	NOUN	ok			ум, разум
144	svemir	NOUN	ok			космос
145	izvor	NOUN	ok			источник, родник, ключ
146	veštica	NOUN	ok			ведьма, колдунья
147	obala	NOUN	ok			берег
148	nada	NOUN	ok			надежда
149	ćutati	VERB	ok			молчать
150	kontrolisati	VERB	ok			контролировать
151	lista	NOUN	ok			перечень, список
152	ponašanje	NOUN	ok			поведение
153	upasti	VERB	ok			напасть
154	spremati	VERB	ok			приготовить
155	puška	NOUN	ok			воен. винтовка
156	doručak	NOUN	ok			завтрак
157	vikati	VERB	ok			кричать
158	stolica	NOUN	gloss	стул	толкование даёт медицинский термин, основное значение — «стул»	стул; мед. стул
159	svetski	ADJ	ok			мировой, всемирный
160	sumnja	NOUN	ok			сомнение
161	radnik	NOUN	ok			работник, рабочий, трудящийся
162	poverenje	NOUN	ok			доверие
163	zahvalan	ADJ	ok			благодарный
164	sprat	NOUN	ok			этаж
165	vredan	ADJ	ok			ценный; прилежный
166	zajednički	ADJ	ok			взаимный
167	sići	VERB	ok			сойти, съехать; спуститься, слезть
168	slatko	ADV	gloss	сладкое	толкование про варенье неверно, slatko — наречие со значением «сладко»	варенье; конфитюр
169	prići	VERB	ok			подойти, приблизиться; присоединиться, примкнуть
170	odabrati	VERB	ok			выбрать, отобрать
171	namera	NOUN	ok			намерение
172	ugao	NOUN	ok			угол
173	podrška	NOUN	ok			поддержка
174	odgovornost	NOUN	ok			ответственность
175	pozdrav	NOUN	ok			привет
176	seksi	ADJ	ok			сексуальный
177	dar	NOUN	ok			подарок; дарование
178	teren	NOUN	ok			почва, земля, грунт; местность, участок, территория
179	novinar	NOUN	ok			журналист
180	nalog	NOUN	ok			инструкция, руководство, приказ
181	majmun	NOUN	gloss	обезьяна	«собачка» — ошибка, это просто обезьяна	зоол. обезьяна; интернет. собачка
182	pružiti	VERB	ok			растягиваться; протягивать
183	vuk	NOUN	ok			зоол. волк (Canis lupus)
184	ljubomoran	ADJ	ok			ревнивый
185	zamka	NOUN	ok			петля
186	zatvorenik	NOUN	ok			узник
187	budan	ADJ	gloss	бодрствующий	толкования нет, budan — прилагательное со значением «бодрствующий, не спящий»	?
188	umetnost	NOUN	ok			искусство
189	ponovno	ADV	ok			повторно
190	lovac	NOUN	ok			охотник; шахм. слон
191	stranac	NOUN	ok			иностранец
192	mirisati	VERB	ok			нюхать
193	žuriti	VERB	ok			спешить; торопить
194	sveštenik	NOUN	ok			священник
195	javan	ADJ	ok			общественный; явный
196	rame	NOUN	ok			анат. плечо
197	posedovati	VERB	ok			обладать, владеть, иметь в собственности
198	osveta	NOUN	ok			месть
199	usamljen	ADJ	ok			одинокий; уединённый; отделённый от других; пустынный; безлюдный
200	poslovan	ADJ	ok			деловой
201	šešir	NOUN	ok			шляпа
202	zabraniti	ADJ	drop_grammar	забранить	часть речи неверна, zabraniti — глагол, не прилагательное	запретить
203	stena	NOUN	ok			скала, утёс
204	traka	NOUN	ok			бант
205	smeće	NOUN	ok			мусор, сор
206	peta	NOUN	drop_rare	пета	это приставка СИ, не нужна начинающему	:Шаблон:Приставка в системе СИ, означающая 10 в 15 степени; Квадриллион
207	boca	NOUN	ok			бутыль, бутылка
208	ortak	NOUN	ok			компаньон; пайщик, партнёр
209	poljubac	NOUN	ok			поцелуй
210	bes	NOUN	ok			бешенство, гнев, ярость
211	taman	ADJ	gloss	темный	taman — прилагательное, но толкование неполное; основное значение «темный»	тёмный
212	leš	NOUN	ok			труп; падаль
213	hitno	ADV	ok			быстро, проворно; срочно, неотложно
214	južan	ADJ	ok			южный
215	ljubazan	ADJ	ok			любезный, обходительный; приветливый
216	hodnik	NOUN	ok			коридор
217	zmija	NOUN	ok			змея
218	zdravlje	NOUN	ok			здоровье
219	snažan	ADJ	ok			сильный
220	odbor	NOUN	ok			комитет
221	kukavica	NOUN	ok			зоол. кукушка; перен., разг. трус; трусиха
222	kriminalac	NOUN	ok			преступник, уголовник
223	lepota	NOUN	ok			красота
224	eksplozija	NOUN	ok			взрыв
225	skup	NOUN	gloss	дорогой	skup как прилагательное значит «дорогой», но в толковании указано как существительное; также skup — существительное «собрание»	дорогой, дорогостоящий
226	posledica	NOUN	ok			последствие
227	gradski	ADJ	ok			городской
228	grob	NOUN	ok			могила
229	povreda	NOUN	ok			травма, повреждение, ранение; нарушение
230	zabaviti	VERB	ok			позабавить, развлечь, занять
231	košulja	NOUN	ok			рубаха, рубашка
232	gorivo	NOUN	ok			топливо
233	javnost	NOUN	ok			общественность
234	lanac	NOUN	ok			цепь
235	površina	NOUN	ok			поверхность
236	predavati	VERB	ok			вручать
237	agencija	NOUN	ok			агентство
238	interesantan	ADJ	ok			интересный; занимательный
239	crnac	NOUN	drop_rare	негр	устаревший и оскорбительный термин, не нужен начинающему	негр
240	uređaj	NOUN	ok			приспособление, устройство
241	ukloniti	VERB	ok			убрать, устранить; отстранить
242	glumac	NOUN	ok			актёр
243	cev	NOUN	ok			труба, трубка; ствол, дуло (оружия)
244	peder	NOUN	ok			разг. педераст
245	politički	ADV	drop_grammar	политический	наречие, но толкование прилагательное	политический
246	sladoled	NOUN	ok			кулин. мороженое
247	putnik	NOUN	gloss	путник		?
248	naučnik	NOUN	ok			учёный
249	kuvati	VERB	ok			варить, готовить (пищу)
250	trgovina	NOUN	ok			торговля
251	top	NOUN	ok			пушка
252	ratnik	NOUN	ok			воин, боец, солдат
253	polovina	NOUN	gloss	половина		?
254	porota	NOUN	ok			суд присяжных
255	milijarda	NOUN	ok			миллиард
256	dovoljan	ADJ	ok			достаточный
257	glad	NOUN	ok			голод
258	osmeh	NOUN	ok			улыбка
259	mapa	NOUN	ok			карта (географическая)
260	vežba	NOUN	ok			упражнение; тренировка
261	suza	NOUN	ok			слеза
262	okolnost	NOUN	ok			обстоятельство
263	ispitivanje	NOUN	ok			опрос, допрос
264	televizija	NOUN	ok			телевидение
265	šampanjac	NOUN	ok			шампанское
266	prijateljstvo	NOUN	ok			дружба
267	pacov	NOUN	ok			крыса
268	usna	NOUN	ok			анат. губа
269	vid	NOUN	ok			зрение, видение; взгляд
270	slavan	ADJ	ok			знаменитый; известный
271	stvarnost	NOUN	ok			реальность, действительность
